Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:85.13Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
