Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.53
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
Device: 0 | Name: b'NVIDIA RTX 6000 Ada Generation' | Mem used:30.54
