Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:6.80
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:36.94
