Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:50.40
