Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.92
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:19.94
